language,rank,repository,github_url,stars,dataset,dataset_revision,source_path,source_state,purpose
java,1,google/guava,https://github.com/google/guava,51894,EnvBench:jvm_baseline_failure,faf36af34739ddf747eb896ee448688e17e3882b,/home/master/auto-build/EnvBench-main/data/repo_data/google__guava@faf36af34739ddf747eb896ee448688e17e3882b,ready,Google Java 核心工具库
java,2,skylot/jadx,https://github.com/skylot/jadx,50321,EnvBench:jvm_baseline_failure,52a884608a3c6aea1490013667a0f18ce0821c75,/home/master/auto-build/EnvBench-main/data/repo_data/skylot__jadx@52a884608a3c6aea1490013667a0f18ce0821c75,ready,Android DEX/APK 反编译工具
java,3,airbnb/lottie-android,https://github.com/airbnb/lottie-android,35717,EnvBench:jvm_baseline_failure,99b06837c8710c5f99fdf4a2868e33856b66c91d,/home/master/auto-build/EnvBench-main/data/repo_data/airbnb__lottie-android@99b06837c8710c5f99fdf4a2868e33856b66c91d,ready,Android 动画渲染库
java,4,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33626,EnvBench:jvm_baseline_failure,7b4caf9e5440046b3fefb63b6b6e2ead7ebaf809,/home/master/auto-build/EnvBench-main/data/repo_data/blankj__androidutilcode@7b4caf9e5440046b3fefb63b6b6e2ead7ebaf809,ready,Android 通用工具集合
java,5,ben-manes/caffeine,https://github.com/ben-manes/caffeine,17842,EnvBench:jvm_baseline_failure,62727c054f7dadafbba6c301f48b330512cf98d8,/home/master/auto-build/EnvBench-main/data/repo_data/ben-manes__caffeine@62727c054f7dadafbba6c301f48b330512cf98d8,ready,Java 高性能内存缓存库
java,6,mockito/mockito,https://github.com/mockito/mockito,15449,EnvBench:jvm_baseline_failure,c13d40a2b7ba5f1775f79e4a7b7dbd8f297cd395,/home/master/auto-build/EnvBench-main/data/repo_data/mockito__mockito@c13d40a2b7ba5f1775f79e4a7b7dbd8f297cd395,ready,Java 单元测试 Mock 框架
java,7,Netflix/eureka,https://github.com/Netflix/eureka,12738,EnvBench:jvm_baseline_failure,015400c60d3dc730c3fc4871e9b586d3805cce0d,/home/master/auto-build/EnvBench-main/data/repo_data/netflix__eureka@015400c60d3dc730c3fc4871e9b586d3805cce0d,ready,服务发现和注册中心
java,8,Activiti/Activiti,https://github.com/Activiti/Activiti,10536,EnvBench:jvm_baseline_failure,d2b3ee8840aa37bd9dcc2f81ece00cda1a8f3da5,/home/master/auto-build/EnvBench-main/data/repo_data/activiti__activiti@d2b3ee8840aa37bd9dcc2f81ece00cda1a8f3da5,ready,BPMN 工作流引擎
java,9,OpenFeign/feign,https://github.com/OpenFeign/feign,9799,EnvBench:jvm_baseline_failure,3bf0cf4710c9f9fb739bb663820709843c68988b,/home/master/auto-build/EnvBench-main/data/repo_data/openfeign__feign@3bf0cf4710c9f9fb739bb663820709843c68988b,ready,声明式 Java HTTP 客户端
java,10,wiremock/wiremock,https://github.com/wiremock/wiremock,7358,EnvBench:jvm_baseline_failure,2755c2fd5088d68a9d11426c71afbcc565c3913f,/home/master/auto-build/EnvBench-main/data/repo_data/wiremock__wiremock@2755c2fd5088d68a9d11426c71afbcc565c3913f,ready,HTTP 服务模拟与集成测试工具
python,1,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,90868,HerAgent:installamatic_dataset.txt,f7075e1,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-sherlock-project-sherlock-f7075e1,ready,跨网站用户名账户搜索工具
